,under15,15_17,18_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85up,Male,Female,never_mar,married,mar_apart,widowed,divorced,lt_hs,some_hs,hs_grad,some_col,assoc_dec,ba_deg,grad_deg,not_in_labor_force,employed,unemployed,below_pov_level,at_above_pov_level,Overdose,No_overdose,Insured,Uninsured,Veteran,Not_veteran,FIPS
"Hudson County, New Jersey",0.17621229,0.029668083,0.08330903,0.1023928,0.10567114,0.086123736,0.071025723,0.063550748,0.061760523,0.053609539,0.05207207,0.037310564,0.027885336,0.021132732,0.01380283,0.014472856,0.496937773,0.503062227,0.512182355,0.318328046,0.059161182,0.040174625,0.070153792,0.242462584,0.084722366,0.203915164,0.126601967,0.034902659,0.196570306,0.110824954,0.427745647,0.537279905,0.034974448,0.170766836,0.829233164,0.000186949,0.999813051,0.871631737,0.128368263,0.018204361,0.981795639,34017
"Hunterdon County, New Jersey",0.155032747,0.046796907,0.091002871,0.042758555,0.042310737,0.053442196,0.052554558,0.079063742,0.093993651,0.094465458,0.076992587,0.058600091,0.044389889,0.029539948,0.018176584,0.020879481,0.499372256,0.500627744,0.387170035,0.481699467,0.017920688,0.042798538,0.070411272,0.169522835,0.082822209,0.176232097,0.137224013,0.050043582,0.232249242,0.151906022,0.432551519,0.544233953,0.023214528,0.053378222,0.946621778,NA,NA,0.959504522,0.040495478,0.043870101,0.956129899,34019
"Mercer County, New Jersey",0.176382057,0.038314685,0.113615286,0.063477256,0.061191229,0.063536915,0.065280587,0.070690581,0.072382729,0.070069584,0.059713311,0.048115044,0.033295188,0.023896172,0.018036023,0.022003352,0.489120354,0.510879646,0.48654959,0.361550268,0.039694979,0.045753087,0.066452075,0.215843823,0.091495328,0.193485229,0.159815816,0.04058173,0.159197531,0.139580542,0.456972248,0.505521176,0.037506576,0.117067377,0.882932623,0.000230501,0.999769499,0.907794187,0.092205813,0.034160244,0.965839756,34021
"Middlesex County, New Jersey",0.181337078,0.037771955,0.094808503,0.067781705,0.068707073,0.07101626,0.06707528,0.069486076,0.071308991,0.068537725,0.059657819,0.048038099,0.032445948,0.023631362,0.017026774,0.021369351,0.492618828,0.507381172,0.45400134,0.406656361,0.034796262,0.04731232,0.057233718,0.217910289,0.078792981,0.19577766,0.154177221,0.0474103,0.185389344,0.120542205,0.468080242,0.501792674,0.030127084,0.091334441,0.908665559,0.000200799,0.999799201,0.923102511,0.076897489,0.029868223,0.970131777,34023
"Monmouth County, New Jersey",0.174512783,0.042585104,0.085024231,0.053318404,0.05203028,0.055658844,0.060577137,0.073758356,0.08412912,0.083474631,0.068615483,0.054723631,0.040379411,0.027511,0.019737338,0.023964247,0.486301447,0.513698553,0.428955047,0.424165085,0.026153898,0.051024484,0.069701486,0.194046395,0.080253518,0.190268645,0.149093581,0.056861949,0.203257367,0.126218545,0.450920536,0.519771827,0.029307637,0.076353854,0.923646146,0.000316016,0.999683984,0.933192383,0.066807617,0.041624224,0.958375776,34025
"Morris County, New Jersey",0.174113997,0.04276037,0.0850009,0.051308399,0.055750299,0.056112366,0.067287912,0.077508733,0.084616583,0.076693576,0.06602371,0.051623943,0.038668401,0.028322171,0.019717506,0.024491133,0.49047803,0.50952197,0.416189473,0.446845866,0.026867833,0.045936046,0.064160782,0.194357411,0.071406177,0.162966769,0.125851819,0.05070765,0.235097081,0.159613093,0.429383696,0.543364153,0.027252151,0.053363485,0.946636515,0.00011125,0.99988875,0.948115125,0.051884875,0.038043379,0.961956621,34027
"Ocean County, New Jersey",0.199956414,0.037451494,0.074742499,0.055475311,0.052542576,0.05168438,0.05027714,0.058291479,0.064905337,0.067287339,0.064731332,0.061942193,0.055419562,0.041127549,0.030161892,0.034003504,0.482095283,0.517904717,0.418850591,0.411343061,0.024752551,0.069096647,0.075957151,0.220274386,0.082192591,0.256752807,0.169152565,0.06112792,0.142323787,0.068175944,0.526726571,0.445284058,0.027989371,0.095472675,0.904527325,0.000364902,0.999635098,0.923698219,0.076301781,0.063582565,0.936417435,34029
"Passaic County, New Jersey",0.200029363,0.040072137,0.099093129,0.068756311,0.064885595,0.064941146,0.062413573,0.066952887,0.069232463,0.065105815,0.059082495,0.046020066,0.032945733,0.025220171,0.016189159,0.019059957,0.486990146,0.513009854,0.511563543,0.332744757,0.046668823,0.045428844,0.063594033,0.261423178,0.100237877,0.259276527,0.142823699,0.039189272,0.135655631,0.061393815,0.486087441,0.487644854,0.026267704,0.1651076,0.8348924,0.000208316,0.999791684,0.865391903,0.134608097,0.026523636,0.973476364,34031
"Salem County, New Jersey",0.177860932,0.040103575,0.083317545,0.058939624,0.054155615,0.060660604,0.059539598,0.064939371,0.075470507,0.07436529,0.07409688,0.057550208,0.042329797,0.030077681,0.019957054,0.026635721,0.489168877,0.510831123,0.437760515,0.37367374,0.039661488,0.063376279,0.085527978,0.211743716,0.107805987,0.289882531,0.156214475,0.078138815,0.109400657,0.046813818,0.484984843,0.476522041,0.038493116,0.118321334,0.881678666,0.000157888,0.999842112,0.929724012,0.070275988,0.060202728,0.939797272,34033
"Somerset County, New Jersey",0.181533485,0.04435816,0.081417184,0.051360487,0.05652137,0.064211209,0.066846167,0.078070484,0.085084924,0.08038743,0.062018439,0.04583616,0.036147388,0.023881203,0.020701081,0.02162483,0.488515216,0.511484784,0.425248958,0.443218162,0.025943739,0.043428353,0.062160787,0.199557206,0.073127665,0.158912217,0.12601461,0.045911877,0.222411683,0.174064741,0.435934168,0.538346215,0.025719616,0.054819248,0.945180752,3.63E-05,0.999963656,0.946695096,0.053304904,0.029563021,0.970436979,34035
